순번(No),시설물명,시설물구분,시설물종류,종별,관리주체구분,항목명,위치
189,서천지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 372.0 m, 차로수 : 4",경기도 용인시
190,성복지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 367.0 m, 차로수 : 4",경기도 용인시
191,성산지하차도(지하차도#3),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 410.0 m, 차로수 : 2",경기도 용인시
192,수성지하차도(지하차도 #2),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 170.0 m, 차로수 : 4",경기도 용인시
193,신일지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 230.0 m, 차로수 : 6",경기도 용인시
194,은목지하차도(지하차도#4),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 170.0 m, 차로수 : 4",경기도 용인시
195,초당지하차도(지하차도#5),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 170.0 m, 차로수 : 4",경기도 용인시
196,하동IC램프2,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 102.0 m, 차로수 : 2",경기도 용인시
197,화운사생태터널,터널,지하차도,2종,민간,"형식 : 파형강판 / 연장 : 310.0 m, 차로수 : 4",경기도 용인시
198,흥덕지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 388.2 m, 차로수 : 2",경기도 용인시
199,고천지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 495.0 m, 차로수 : 4",경기도 의왕시
200,경민지하차도B,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 150.0 m, 차로수 : 4",경기도 의정부시
201,금신 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 460.0 m, 차로수 : 4",경기도 의정부시
202,민락지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 460.0 m, 차로수 : 4",경기도 의정부시
203,사패터널BOX,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 109.0 m, 차로수 : 6",경기도 의정부시
204,신곡지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 190.0 m, 차로수 : 4",경기도 의정부시
205,용현지하차도(상),터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 320.0 m, 차로수 : 3",경기도 의정부시
206,용현지하차도(하),터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 320.0 m, 차로수 : 3",경기도 의정부시
207,의정부역지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 158.6 m, 차로수 : 4",경기도 의정부시
208,자금지하차도(구리),터널,지하차도,2종,민간,"형식 : 1련 암거 2개소 (15.8x5.45M) / 연장 : 180.0 m, 차로수 : 3",경기도 의정부시
209,자금지하차도(포천),터널,지하차도,2종,민간,"형식 : 1련 암거 2개소 (15.8x5.45M) / 연장 : 180.0 m, 차로수 : 3",경기도 의정부시
210,교하지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 164.0 m, 차로수 : 4",경기도 파주시
211,동패지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 180.0 m, 차로수 : 4",경기도 파주시
212,산내지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 210.0 m, 차로수 : 4",경기도 파주시
213,심학산 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 225.0 m, 차로수 : 6",경기도 파주시
214,야당지하차도(명칭변경:기왓돌지하차도),터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 165.0 m, 차로수 : 6",경기도 파주시
215,와동지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 535.0 m, 차로수 : 4",경기도 파주시
216,운정지하차도(명칭변경:한빛지하차도),터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 495.0 m, 차로수 : 4",경기도 파주시
217,책향기 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 203.0 m, 차로수 : 6",경기도 파주시
218,탑골지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 225.0 m, 차로수 : 6",경기도 파주시
219,고덕지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 140.0 m, 차로수 : 6",경기도 평택시
220,세교지하차도,터널,지하차도,2종,공공,"형식 : U-TYPE+BOX-TYPE / 연장 : 380.0 m, 차로수 : 4",경기도 평택시
221,이충지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 410.0 m, 차로수 : 4",경기도 평택시
222,이가팔지하차도,터널,지하차도,2종,민간,"형식 : 미등록 / 연장 : 360.0 m, 차로수 : 4",경기도 포천시
223,미사교차로 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 156.0 m, 차로수 : 4",경기도 하남시
224,미사지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 123.0 m, 차로수 : 3",경기도 하남시
225,신풍지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 120.0 m, 차로수 : 4",경기도 하남시
226,조정경기장 입구교차로 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 166.0 m, 차로수 : 4",경기도 하남시
227,하남풍산 진등지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 110.0 m, 차로수 : 4",경기도 하남시
228,RAMP-C지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 148.1 m, 차로수 : 1",경기도 화성시
229,금곡지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 127.0 m, 차로수 : 4",경기도 화성시
230,남양지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 180.0 m, 차로수 : 4",경기도 화성시
231,동부대로5(동탄산단1)지하차도,터널,지하차도,2종,공공,"형식 : 2련 BOX / 연장 : 585.0 m, 차로수 : 4",경기도 화성시
232,동부대로6(동탄산단2)지하차도,터널,지하차도,2종,공공,"형식 : 2련 BOX / 연장 : 219.0 m, 차로수 : 4",경기도 화성시
233,문호지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 180.0 m, 차로수 : 4",경기도 화성시
234,병점지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 382.0 m, 차로수 : 4",경기도 화성시
235,산척지하차도,터널,지하차도,2종,공공,"형식 : R.C BOX / 연장 : 171.0 m, 차로수 : 7",경기도 화성시
236,상신지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 340.0 m, 차로수 : 4",경기도 화성시
237,송동지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 295.0 m, 차로수 : 6",경기도 화성시
238,수영리지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",경기도 화성시
239,숙곡지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 260.0 m, 차로수 : 4",경기도 화성시
240,신리지하차도,터널,지하차도,2종,공공,"형식 : R.C BOX / 연장 : 124.0 m, 차로수 : 4",경기도 화성시
241,영내지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 396.0 m, 차로수 : 6",경기도 화성시
242,오름 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",경기도 화성시
243,잎새 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 232.0 m, 차로수 : 6",경기도 화성시
244,장지교차로지하차도,터널,지하차도,2종,공공,"형식 : R.C BOX / 연장 : 160.0 m, 차로수 : 4",경기도 화성시
245,장지지하차도,터널,지하차도,2종,공공,"형식 : U-Type, Box-type / 연장 : 480.0 m, 차로수 : 4",경기도 화성시
246,중동지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 440.0 m, 차로수 : 4",경기도 화성시
247,진안 RAMP-A 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 360.0 m, 차로수 : 1",경기도 화성시
248,진안2지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 148.4 m, 차로수 : 8",경기도 화성시
249,진안3지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 140.0 m, 차로수 : 6",경기도 화성시
250,천천지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 235.0 m, 차로수 : 4",경기도 화성시
251,청계지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 416.0 m, 차로수 : 4",경기도 화성시
252,태안(안녕)지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 460.0 m, 차로수 : 4",경기도 화성시
253,태안지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 300.0 m, 차로수 : 4",경기도 화성시
254,풀잎 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 190.4 m, 차로수 : 6",경기도 화성시
255,하길 제2지하차도,터널,지하차도,2종,공공,"형식 : U-Type / 연장 : 495.0 m, 차로수 : 4",경기도 화성시
256,환승센터지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 105.0 m, 차로수 : 2",경기도 화성시
257,아양지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 380.0 m, 차로수 : 2",경상남도 거제시
258,대청지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 590.0 m, 차로수 : 6",경상남도 김해시
259,동김해지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 554.4 m, 차로수 : 4",경상남도 김해시
260,무계지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 1,043.0 m, 차로수 : 4",경상남도 김해시
261,불암지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 360.0 m, 차로수 : 4",경상남도 김해시
262,남해지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 120.0 m, 차로수 : 4",경상남도 남해군
263,남부지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 460.0 m, 차로수 : 4",경상남도 양산시
264,다방지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 365.0 m, 차로수 : 4",경상남도 양산시
265,범어지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 190.0 m, 차로수 : 4",경상남도 양산시
266,석산지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 175.0 m, 차로수 : 4",경상남도 양산시
267,양주지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 440.0 m, 차로수 : 4",경상남도 양산시
268,오봉지하차도(양산물금지하차도6호),터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 355.0 m, 차로수 : 4",경상남도 양산시
269,증산역지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 125.0 m, 차로수 : 4",경상남도 양산시
270,남산지하차도,터널,지하차도,2종,민간,"형식 : 파형강판 SS590 / 연장 : 122.0 m, 차로수 : 4",경상남도 창원시
271,덕산지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 201.0 m, 차로수 : 2",경상남도 창원시
272,명곡지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 229.0 m, 차로수 : 4",경상남도 창원시
273,삼동지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 250.0 m, 차로수 : 4",경상남도 창원시
274,성주지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 180.0 m, 차로수 : 4",경상남도 창원시
275,소계1지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 116.0 m, 차로수 : 4",경상남도 창원시
276,용원지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 250.0 m, 차로수 : 4",경상남도 창원시
277,토월지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",경상남도 창원시
278,구미국가산업단지 제4단지 옥계지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 226.0 m, 차로수 : 4",경상북도 구미시
279,혁신지하차도2,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 150.0 m, 차로수 : 4",경상북도 김천시
280,돈달지하도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 110.0 m, 차로수 : 2",경상북도 문경시
281,성주지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 390.0 m, 차로수 : 4",경상북도 성주군
282,나무고개지하차도,터널,지하차도,2종,공공,"형식 : U-TYPE+BOX TYPE / 연장 : 120.0 m, 차로수 : 4",경상북도 영주시
283,산정1지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 206.0 m, 차로수 : 4",광주광역시 광산구
284,산정제1 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 170.7 m, 차로수 : 4",광주광역시 광산구
285,선운지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 120.0 m, 차로수 : 6",광주광역시 광산구
286,송정공원역 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 185.0 m, 차로수 : 2",광주광역시 광산구
287,수완지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 240.0 m, 차로수 : 6",광주광역시 광산구
288,신가지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 445.5 m, 차로수 : 6",광주광역시 광산구
289,신덕지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 111.4 m, 차로수 : 4",광주광역시 광산구
290,장수제1 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 448.0 m, 차로수 : 6",광주광역시 광산구
291,효덕지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 180.0 m, 차로수 : 4",광주광역시 남구
292,효천 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 115.0 m, 차로수 : 4",광주광역시 남구
293,신용지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",광주광역시 북구
294,연제지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 120.0 m, 차로수 : 4",광주광역시 북구
295,월출지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 164.0 m, 차로수 : 4",광주광역시 북구
296,쌍계지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 101.0 m, 차로수 : 4",대구광역시 달성군
297,옥포지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 425.0 m, 차로수 : 4",대구광역시 달성군
298,봉무지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 240.0 m, 차로수 : 4",대구광역시 동구
299,불로지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",대구광역시 동구
300,경대교지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 105.0 m, 차로수 : 4",대구광역시 북구
301,매천시장지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 105.0 m, 차로수 : 4",대구광역시 북구
302,칠곡지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 110.0 m, 차로수 : 4",대구광역시 북구
303,침산교지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",대구광역시 북구
304,팔달교지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 110.0 m, 차로수 : 4",대구광역시 서구
305,연호지하차도,터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 200.0 m, 차로수 : 6",대구광역시 수성구
306,월드컵지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 1,370.0 m, 차로수 : 6",대구광역시 수성구
307,수성교지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 460.0 m, 차로수 : 4",대구광역시 중구
308,대동지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 186.0 m, 차로수 : 4",대전광역시 동구
309,대전역지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 345.2 m, 차로수 : 6",대전광역시 동구
310,성남지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 112.0 m, 차로수 : 4",대전광역시 동구
311,정동지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 140.0 m, 차로수 : 4",대전광역시 동구
312,판암지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 125.0 m, 차로수 : 4",대전광역시 동구
313,현암 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 105.0 m, 차로수 : 2",대전광역시 동구
314,홍도지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 493.0 m, 차로수 : 8",대전광역시 동구
315,갈마지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 260.0 m, 차로수 : 6",대전광역시 서구
316,갑천지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 142.0 m, 차로수 : 4",대전광역시 서구
317,계룡로 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 472.0 m, 차로수 : 6",대전광역시 서구
318,관저지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 160.0 m, 차로수 : 6",대전광역시 서구
319,도마지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 135.0 m, 차로수 : 2",대전광역시 서구
320,둔산지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 244.0 m, 차로수 : 4",대전광역시 서구
321,만년지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 120.0 m, 차로수 : 4",대전광역시 서구
322,문예지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 174.0 m, 차로수 : 4",대전광역시 서구
323,삼천지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 270.0 m, 차로수 : 4",대전광역시 서구
324,오량지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 155.0 m, 차로수 : 4",대전광역시 서구
325,정부청사 지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 124.0 m, 차로수 : 4",대전광역시 서구
326,탄방지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 123.0 m, 차로수 : 6",대전광역시 서구
327,한밭지하차도,터널,지하차도,2종,공공,"형식 : 라멘형 / 연장 : 283.0 m, 차로수 : 6",대전광역시 서구
328,과학공원지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 200.0 m, 차로수 : 2",대전광역시 유성구
329,노은지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 105.0 m, 차로수 : 6",대전광역시 유성구
330,도안지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 130.0 m, 차로수 : 6",대전광역시 유성구
331,상대지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 125.0 m, 차로수 : 6",대전광역시 유성구
332,옥녀봉 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 120.0 m, 차로수 : 6",대전광역시 유성구
333,월드컵지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 135.0 m, 차로수 : 6",대전광역시 유성구
334,유성지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 110.0 m, 차로수 : 6",대전광역시 유성구
335,진터지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 130.0 m, 차로수 : 6",대전광역시 유성구
336,중촌지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 410.0 m, 차로수 : 4",대전광역시 중구
337,금호지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 120.0 m, 차로수 : 6",부산광역시 강서구
338,대상지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 130.0 m, 차로수 : 4",부산광역시 강서구
339,명지동진 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 160.0 m, 차로수 : 4",부산광역시 강서구
340,구서 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 140.0 m, 차로수 : 4",부산광역시 금정구
341,장전지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 220.0 m, 차로수 : 4",부산광역시 금정구
342,삼성1 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 368.0 m, 차로수 : 4",부산광역시 기장군
343,대남 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 125.0 m, 차로수 : 4",부산광역시 남구
344,초량 제1지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 165.0 m, 차로수 : ",부산광역시 동구
345,초량 제2지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 175.0 m, 차로수 : ",부산광역시 동구
346,내성 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 185.0 m, 차로수 : 4",부산광역시 동래구
347,안락 지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 200.0 m, 차로수 : 4",부산광역시 동래구
348,우장춘 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 244.0 m, 차로수 : 4",부산광역시 동래구
349,가야감고개공원 복개구조물,터널,지하차도,2종,공공,"형식 : 2경간 거더교 / 연장 : 105.0 m, 차로수 : 4",부산광역시 부산진구
350,문전지하차도,터널,지하차도,2종,공공,"형식 : U-TYPE, BOX-TYPE / 연장 : 436.0 m, 차로수 : 2",부산광역시 부산진구
351,범천지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 215.0 m, 차로수 : 4",부산광역시 부산진구
352,와석지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 480.0 m, 차로수 : 4",부산광역시 북구
353,주례지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 123.0 m, 차로수 : 1",부산광역시 사상구
354,수영강변 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 400.0 m, 차로수 : 4",부산광역시 해운대구
355,우동 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 145.5 m, 차로수 : 6",부산광역시 해운대구
356,좌동 지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 265.0 m, 차로수 : 4",부산광역시 해운대구
357,개포지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 160.0 m, 차로수 : 4",서울특별시 강남구
358,구룡지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 380.0 m, 차로수 : 4",서울특별시 강남구
359,대치지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 155.0 m, 차로수 : 2",서울특별시 강남구
360,일원지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 160.0 m, 차로수 : 6",서울특별시 강남구
361,천호지하차도,터널,지하차도,2종,공공,"형식 : 미등록 / 연장 : 100.0 m, 차로수 : 4",서울특별시 강동구
362,황산지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 407.0 m, 차로수 : 4",서울특별시 강동구
363,가양지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 135.0 m, 차로수 : 1",서울특별시 강서구
364,공항입구지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 100.0 m, 차로수 : 4",서울특별시 강서구
365,염창지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 179.0 m, 차로수 : 1",서울특별시 강서구
366,도림천 지하차도(성산방향),터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 108.0 m, 차로수 : 3",서울특별시 관악구
367,도림천 지하차도(수서방향),터널,지하차도,2종,민간,"형식 : 박스형 / 연장 : 106.0 m, 차로수 : 3",서울특별시 관악구
368,광나루지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 455.0 m, 차로수 : 1",서울특별시 광진구
369,아차산 지하차도,터널,지하차도,2종,공공,"형식 : 아치형 / 연장 : 260.0 m, 차로수 : 10",서울특별시 광진구
370,가마산지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 420.0 m, 차로수 : 4",서울특별시 구로구
371,개봉지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 355.0 m, 차로수 : 4",서울특별시 구로구
372,구로지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 370.0 m, 차로수 : 4",서울특별시 구로구
373,신도림지하차도,터널,지하차도,2종,공공,"형식 : 박스형 / 연장 : 260.0 m, 차로수 : 6",서울특별시 구로구
